X,Y,osm_id,amenity,healthcare,name,operator,source,speciality,operator_t,contact_nu,operationa,opening_ho,beds,staff_doct,staff_nurs,health_ame,dispensing,wheelchair,emergency,insurance,water_sour,electricit,is_in_heal,is_in_heal2,url,addr_house,addr_stree,addr_postc,addr_city,changeset_,changeset_2,changeset_3,changeset_4,location
18.5417819770342,42.4521467427541,5901465386,dentist,dentist,Dr Kukoljac,,,,,,,Mo-Sa 09:00-16:00,,,,,,,,,,,,,,72,,,,106658657,3,2021-06-20 09:37:44+00:00,TheEdgeOfRage,"28, Стијепа Шаренца - Stijepa Šarenca, Dubrava, Marići, Herceg Novi, Opština Herceg Novi, 85340, Crna Gora / Црна Гора"
20.1654181449132,42.8407161835383,6306649111,hospital,hospital,,,,,,,,,,,,,,,yes,,,,,,,,m-5,84310.0,Rožaje,77191935,3,2019-11-17 15:33:04+00:00,Alen,"Hitna pomoć, M-5, Rožaje, Opština Rožaje, 84310, Crna Gora / Црна Гора"
19.2530925762011,42.4443960807085,6311120385,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,106287192,2,2021-06-13 15:17:06+00:00,Linfindel,"Tea Medica, Svetozara Markovića, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.2522307489168,42.4432899209467,6311138985,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,106287192,2,2021-06-13 15:17:06+00:00,Linfindel,"Apoteka Meditas, Svetozara Markovića, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
18.9448050878318,42.7776708606284,6364577085,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,106839656,4,2021-06-23 12:50:09+00:00,Linfindel,"Opšta bolnica Nikšić, Peka Pavlovića, Nikšić, Opština Nikšić, 81400, Crna Gora / Црна Гора"
18.8386168520024,42.2895124240213,6533833185,pharmacy,pharmacy,Benu,,,,,,,24/7,,,,,,,,,,,,,,,,,,109649204,2,2021-08-13 21:06:20+00:00,Note Control,"Benu, Popa Jola Zeca, Budva, Opština Budva, 83510, Crna Gora / Црна Гора"
18.8671908437399,42.2818781866108,6578569386,pharmacy,pharmacy,,,,,,,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,,,112185661,2,2021-10-06 20:07:52+00:00,Arisuaq,"Hotel Splendid, Jadranski put, Bečići, Opština Budva, 85316, Crna Gora / Црна Гора"
18.8390629368893,42.2915486397592,6633029589,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,11,,,,109649204,3,2021-08-13 21:06:20+00:00,Note Control,"Centar za očne bolesti Miljković & Jankov, 11, I ulica, Budva, Opština Budva, 83510, Crna Gora / Црна Гора"
18.8438152245316,42.2885258740177,6797488285,pharmacy,pharmacy,,,,,,,,,,,,,,no,,,,,,,,,,,,123503101,3,2022-07-12 08:55:38+00:00,wheelmap_visitor,"Аптека, Jadranski put, Budva, Opština Budva, 83510, Crna Gora / Црна Гора"
18.5136969855278,42.4594907986766,6800404313,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,74549020,1,2019-09-16 20:09:35+00:00,droogi,"44, Sava Ilića, Gomila, Igalo, Opština Herceg Novi, 85347, Crna Gora / Црна Гора"
19.2939868759563,42.461779058243,6815368389,pharmacy,,Help,,,,,,,,,,,,,,,,,,,,,,,,,119548453,2,2022-04-10 19:25:37+00:00,soliMM,"Help, Pljevaljska, Zlatica, Podgorica, Glavni grad Podgorica, 80001, Crna Gora / Црна Гора"
18.4922326917001,42.4576868454756,6817893787,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,114055495,2,2021-11-21 12:16:23+00:00,rene78,"HDL Novi Mall, Jadranska, Čeprnjića krivine, Sutorina, Opština Herceg Novi, 83547, Crna Gora / Црна Гора"
18.5737211352579,42.4501100241019,6827954085,dentist,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,106658657,2,2021-06-20 09:37:44+00:00,TheEdgeOfRage,"Kotasevich, Sunčana obala, Donji Sasovići, Zelenika, Opština Herceg Novi, 85348, Crna Gora / Црна Гора"
18.557298556189,42.4551464582618,6827952688,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,106658657,2,2021-06-20 09:37:44+00:00,TheEdgeOfRage,"Bimedica, Zemunska, Savina, Meljine, Opština Herceg Novi, 85348, Crna Gora / Црна Гора"
